,Name,Rating
426,Lawrence Olum,6.45
427,Jonathan Campbell,6.45
428,Josh Pérez,6.45
429,Miguel Ibarra,6.45
430,Mohammed Adams,6.44
431,Giancarlo González,6.44
432,Matt Besler,6.44
433,Pablo Aránguiz,6.44
434,Héctor Jiménez,6.44
435,Dion Pereira,6.44
436,Derek Cornelius,6.44
437,Victor Ulloa,6.44
438,Danny Hoesen,6.44
439,DaMarcus Beasley,6.43
440,Micheal Azira,6.43
441,Emerson Hyndman,6.43
442,Brooks Lennon,6.43
443,David Ousted,6.43
444,David Accam,6.43
445,Zarek Valentin,6.43
446,Seth Sinovic,6.43
447,José Bizama,6.42
448,Theo Bair,6.42
449,Nouhou Tolo,6.42
450,Brenden Aaronson,6.42
451,Mark McKenzie,6.41
452,Kyle Smith,6.41
453,Erickson Gallardo,6.41
454,Marcus Epps,6.41
455,Vincent Bezecourt,6.41
456,Sam Vines,6.41
457,Evan Bush,6.41
458,Robin Jansson,6.41
459,Nicolas Hasler,6.41
460,Derrick Etienne,6.41
461,Anthony Jackson-Hamel,6.41
462,Micheal Azira,6.41
463,Niko Hämäläinen,6.4
464,Erik Hurtado,6.4
465,Collin Martin,6.4
466,Marcelo,6.4
467,Kelyn Rowe,6.4
468,Shamit Shome,6.4
469,David Guzmán,6.4
470,Clément Bayiha,6.39
471,Dairon Asprilla,6.39
472,Andrés Ríos,6.38
473,Chris McCann,6.38
474,Juan Fernando Caicedo,6.38
475,Darwin Cerén,6.38
476,Thomas Roberts,6.38
477,Jukka Raitala,6.38
478,Josué Colmán,6.38
479,Kevin Garcia,6.38
480,Robinho,6.38
481,Xavier Arreaga,6.37
482,Scott Caldwell,6.37
483,Diego Palacios,6.37
484,Mathieu Choinière,6.37
485,Omir Fernandez,6.37
486,Deklan Wynne,6.37
487,Drew Moor,6.36
488,David Guzmán,6.36
489,Jay Chapman,6.36
490,Javier Pérez,6.36
491,Jeremiah Gutjahr,6.36
492,Romario Williams,6.36
493,Andy Rose,6.35
494,Jacori Hayes,6.35
495,Chris Odoi-Atsem,6.35
496,Jesús Medina,6.35
497,Tosaint Ricketts,6.34
498,Diego Fagundez,6.34
499,Victor Giro,6.34
500,Danilo Acosta,6.34
501,Jorge Corrales,6.33
502,Francois Affolter,6.33
503,Kelyn Rowe,6.33
504,Tony Rocha,6.33
505,Emmanuel Boateng,6.33
506,Aljaz Struna,6.33
507,Santiago Patiño,6.32
508,Andre Blake,6.32
509,Eduardo Sosa,6.32
510,Sebastien Ibeagha,6.32
511,Fanendo Adi,6.31
512,Alex Roldan,6.31
513,Felipe,6.31
514,Jalen Robinson,6.3
515,Cristian Martínez,6.3
516,Dániel Sallói,6.3
517,Alex Crognale,6.3
518,Tomás Conechny,6.3
519,Andy Polo,6.3
520,Abdul Rwatubyaye,6.3
521,Mohammed Adams,6.29
522,Matt Real,6.29
523,Diego Campos,6.29
524,Peter-Lee Vassell,6.29
525,Andrew Wooten,6.28
526,Tommy McNamara,6.28
527,Anthony Fontana,6.28
528,Henry Wingo,6.28
529,Abu Danladi,6.28
530,Eriq Zavaleta,6.28
531,Fatai Alashe,6.27
532,Bradley Wright-Phillips,6.27
533,Dillon Serna,6.26
534,Akeem Ward,6.26
535,Brendan McDonough,6.26
536,Thomás Chacón,6.26
537,Eric Miller,6.26
538,Saad Abdul-Salaam,6.26
539,Juan Cabezas,6.25
540,Ayo Akinola,6.25
541,Justin Dhillon,6.25
542,Efrain Álvarez,6.25
543,Lass,6.25
544,Andrew Gutman,6.25
545,Jonathan Lewis,6.24
546,Emanuel Cecchini,6.24
547,Brett Levis,6.24
548,Przemyslaw Tyton,6.24
549,Justin Meram,6.24
550,Brad Knighton,6.24
551,Gedion Zelalem,6.23
552,Eryk Williamson,6.23
553,Shaft Brewer,6.23
554,Luis Martins,6.23
555,Joao Plata,6.23
556,Luis Felipe Fernandes,6.22
557,J.J. Williams,6.22
558,Gilbert Fuentes,6.22
559,Joseph-Claude Gyau,6.22
560,Adrien Pérez,6.22
561,Sebastian Anderson,6.22
562,Derrick Etienne,6.21
563,Zoltán Stieber,6.2
564,Warren Creavalle,6.2
565,Luke Mulholland,6.2
566,André Horta,6.2
567,Quincy Amarikwa,6.2
568,Romario Williams,6.19
569,Caleb Stanko,6.19
570,Grant Lillard,6.19
571,Jimmy Medranda,6.18
572,Alfonso Ocampo-Chavez,6.18
573,Corben Bone,6.18
574,Marlon Hairston,6.18
575,Ken Krolicki,6.18
576,Niko Hansen,6.18
577,Ricardo Pepi,6.16
578,Tyler Deric,6.16
579,Luis Silva,6.15
580,Carlos Fierro,6.15
581,Thomas McCabe,6.15
582,Nicolas Hasler,6.15
583,Rashawn Dally,6.15
584,Daniel Kinumbe,6.14
585,Douglas Martínez,6.14
586,Emil Cuello,6.13
587,Siad Haji,6.13
588,Terrence Boyd,6.13
589,Griffin Yow,6.13
590,Servando Carrasco,6.12
591,Eric Alexander,6.11
592,Michael Salazar,6.11
593,Kofi Opare,6.1
594,Amando Moreno,6.1
595,Tajon Buchanan,6.1
596,Joe Bendik,6.1
597,Axel Sjöberg,6.09
598,Chris Seitz,6.09
599,Nazmi Albadawi,6.09
600,Joaquín Ardáiz,6.09
601,Lucas Melano,6.09
602,Tate Schmitt,6.08
603,Jordan Hamilton,6.08
604,Justin Portillo,6.08
605,Derrick Jones,6.08
606,Andrew Carleton,6.07
607,Bryan Reynolds,6.07
608,Luis Arriaga,6.07
609,Niki Jackson,6.07
610,Lalas Abubakar,6.06
611,Justin Hoyte,6.06
612,Niko Hansen,6.05
613,Matt Lampson,6.05
614,Patrick Mullins,6.05
615,Ashtone Morgan,6.05
616,Georges Mukumbilwa,6.04
617,Edwin Gyasi,6.03
618,Shandon Hopeau,6.03
619,Emmanuel Boateng,6.03
620,Justin Haak,6.02
621,Ballou Tabla,6.02
622,Eric Calvillo,6.01
623,Juninho Pereira,6.01
624,Daniel Bedoya,6.0
625,Juan Torres,6.0
626,Kevin Kratz,6.0
627,Kevin Partida,6.0
628,Justin Rennicks,5.97
629,Amar Sejdic,5.96
630,Foster Langsdorf,5.96
631,Mathias Jørgensen,5.95
632,Ethan Zubak,5.95
633,Brian Wright,5.95
634,Jon Kempin,5.91
635,Ema Twumasi,5.89
636,Johan Blomberg,5.88
637,Griffin Dorsey,5.88
638,Michee Ngalina,5.87
639,Carter Manley,5.84
640,Ronaldo Peña,5.84
641,Rodney Wallace,5.77
642,Felipe Hernandez,5.6
643,Fabinho,5.58
644,Jaylin Lindsey,5.25
645,Eric Dick,5.08
